CONST               NAME  PS  RATING    RA2000
  Ant  S                 p   10      93218.4  
  Aps  DW                p   10      172330.0 
  Aps  II                p   10      162741.9 
  Aps  MR                p   10      170757.5 
  Aps  NT                p   10      144242.6 
  Aps  NX                p   10      145641.8 
  Aps  TV                p   10      144549.7 
  Aps  V0354             p   10      151528.6 
  Aps  YY                p   10      150234.3 
  Aqr  AO                p   10      221131.9 
  Aqr  DX                p   10      220226.2 
  Aqr  EE                p   10      223442.0 
  Ara  FU                p   10      173332.3 
  Ara  R                 p   10      163944.7 
  Ara  V0489             p   10      171042.5 
  Ara  V0491             p   10      171104.7 
  Ara  V0535             p   10      173805.6 
  Ara  V0610             p   10      165211.3 
  Ara  V0870             p   10      180822.7 
  Ara  V0878             p   10      164948.8 
  Cae  S                 p   10      45656.5  
  Cap  TY                p   10      202429.7 
  Car  OT                p   10      95907.5  
  Car  ST                p   10      101553.1 
  Car  V0454             p   10      73246.1  
  Car  V0462             p   10      80215.5  
  Car  V0625             p   10      95047.8  
  Cen  BG                p   10      113721.3 
  Cen  BH                p   10      113910.2 
  Cen  OZ                p   10      134649.8 
  Cen  RR                p   10      141657.2 
  Cen  V0676             p   10      143750.8 
  Cen  V0701             p   10      133137.7 
  Cen  V0716             p   10      141339.8 
  Cen  V0752             p   10      114248.1 
  Cen  V0757             p   10      135155.7 
  Cen  V0758             p   10      135242.9 
  Cen  V0759             p   10      141041.3 
  Cen  V0831             p   10      131217.6 
  Cen  V0901             p   10      111403.3 
  Cen  V1129             p   10      123907.9 
  Cen  V1362             p   10      144047.4 
  Cet  AA                p   10      15900.7  
  Cet  TT                p   10      14656.5  
  Cet  WY                p   10      13535.9  
  Cha  GO                p   10      93310.4  
  Cha  RZ                p   10      104224.1 
  Cir  DM                p   10      152408.5 
  CMa  AR                p   10      70556.2  
  CMa  FQ                p   10      70443.8  
  CMa  TU                p   10      63136.7  
  CMa  VW                p   10      71225.5  
  Col ASASJ061717-3427.6 p   10      61716.8  
  Col  AZ                p   10      52850.6  
  Col  RU                p   10      53450.8  
  CrA  eps               p   10      185843.4 
  CrA  V0711             p   10      180432.8 
  CrA  V0731             p   10      183051.7 
  CrA  V0734             p   10      185108.7 
  Cru  TW                p   10      120316.2 
  Cru  ZZ                p   10      120545.4 
  Dor  AP                p   10      50645.1  
  Dor  RW                p   10      51832.5  
  Eri  BV                p   10      35153.3  
  Eri  CT                p   10      42924.8  
  Eri  YY                p   10      41208.8  
  For  XZ                p   10      20118.7  
  Gru  BC                p   10      224449.1 
  Gru  DY                p   10      232314.3 
  Gru  EH                p   10      214730.6 
  Gru  EN                p   10      231523.7 
  Gru  RV                p   10      223924.4 
  Gru  UV                p   10      221953.9 
  Gru  V                 p   10      215153.4 
  Gru  YY                p   10      224846.6 
  Hor  SZ                p   10      30701.2  
  Hor  WY                p   10      23401.1  
  Hor  WZ                p   10      24801.1  
  Hyi  CN                p   10      24537.0  
  Hyi  CP                p   10      30013.7  
  Hyi  CY                p   10      30617.3  
  HYI  NSV1000           p   10      25618.8  
  Hyi  UV                p   10      33856.3  
  Ind  BO                p   10      204416.5 
  Ind  BR                p   10      211122.8 
  Ind  CN                p   10      204539.2 
  Ind  CO                p   10      205629.6 
  Ind  CR                p   10      213345.1 
  Ind  CT                p   10      222946.2 
  Ind  CU                p   10      223717.6 
  Ind  DD                p   10      212447.1 
  Ind  ST                p   10      203523.8 
  Ind  TV                p   10      203354.6 
  Lep  RR                p   10      51210.5  
  Lup  FT                p   10      145952.7 
  Lup  GG_Primary        p   10      151856.4 
  Lup  GG_Secondary      s   10      151856.4 
  Lup  IU                p   10      150101.4 
  Lup  OW                p   10      150933.6 
  Lup  QZ                p   10      145621.8 
  Men  AU                p   10      55500.7  
  Men  NSV2569           p   10      53728.1  
  Men  RR                p   10      34350.4  
  Men  TY_Primary        p   10      52649.7  
  Men  TY_Secondary      s   10      52649.7  
  Men  XY_Primary        p   10      52213.5  
  Men  XY_Secondary      s   10      52213.5  
  Mic  AH                p   10      210457.8 
  Mic  CY                p   10      205155.0 
  Mic  CZ                p   10      205443.9 
